Ref,Samples,V(EA),SM_Av_Tg (MPa),SM_Ap_Tg (MPa),Tg (°C),Index
j.cej.2021.128647,DBDBBB/ 33DDSb,"['DBDBBB', '33DDSb']",1410,21.5,113.3,44
j.cej.2021.128647,DBDBBB/ 44DDSª,"['DBDBBB', '44DDSa']",1480,6.43,134.6,45
j.cej.2021.128647,DBDBBB/ 44DDSb,"['DBDBBB', '44DDSb']",1210,15.5,123.1,46
j.compositesb.2020.108228,EP,['DGEBA'],2926,47.29,185,47
j.compositesb.2020.108228,EP/10%TAP,"['DGEBA', '(0.1)TAP']",3200,32.95,178,48
j.compositesb.2020.108228,EP/12.5%TAP,"['DGEBA', '(0.125)TAP']",3141,31.59,177,49
j.compositesb.2020.108228,EP/7.5%TAP,"['DGEBA', '(0.075)TAP']",2966,38.94,185,50
j.eurpolymj.2006.10.030,BADGE/DDM,"['BADGE', 'DDM']",1630,39,187,51
j.eurpolymj.2006.10.030,BADGE/HMPA,"['BADGE', 'HMPA']",1810,28,164,52
j.eurpolymj.2006.10.030,BGTF/DDM,"['BGTF', 'DDM']",2230,26,170,53
j.eurpolymj.2006.10.030,BGTF/HMPA,"['BGTF', 'HMPA']",1970,24,175,54
j.eurpolymj.2011.10.017,pCBT,['pCBT'],2810,57,65.7,55
j.eurpolymj.2011.10.017,pCBT/EP 1%,"['pCBT', 'EP(0.01)']",2072,57,67.9,56
j.eurpolymj.2011.10.017,pCBT/EP 2%,"['pCBT', 'EP(0.02)']",2591,62,62.3,57
j.eurpolymj.2011.10.017,pCBT/EP 3%,"['pCBT', 'EP(0.03)']",2142,60,62.6,58
j.eurpolymj.2011.10.017,pCBT/EP 4%,"['pCBT', 'EP(0.04)']",2209,56,60.3,59
j.eurpolymj.2020.110053_8_0,DADE-D230,"['DADE', 'D230']",2523.7,35.2,106,60
j.eurpolymj.2020.110053_8_0,DGEBA-D230,"['DGEBA', 'D230']",2660.6,16.9,98,61
j.eurpolymj.2020.110053_8_0,Reprocessed DADE-D230,"['ReprocessedDADE', 'D230']",2533.5,28.4,97,62
j.eurpolymj.2021.110282,DGEBA/ HDDM,"['DGEBA', 'HDDM']",2445,40.6,161.4,63
j.eurpolymj.2021.110282,REEP/ HDDM,"['REEP', 'HDDM']",1864,637,320,64
j.eurpolymj.2021.110282,REEP/ HDDM,"['REEP', 'DGEBA', 'HDDM']",1928,407,206,65
j.jaap.2017.07.014,EP,['EP'],1707,26.7,175,66
j.jaap.2017.07.014,EP/7.5% DHBAZ,"['EP', '(0.075)DHBAZ']",1876,23.9,170,67
j.matchemphys.2015.05.006,DGEBA-MHHPA,"['DGEBA', 'MHHPA']",2166.7,33.8,33.8,68
j.matchemphys.2015.05.006,DGEBA-PMSE-0.2,"['DGEBA', 'PMSE(0.2)']",2172.8,30.4,30.4,69
j.matchemphys.2015.05.006,DGEBA-PMSE-0.4,"['DGEBA', 'PMSE(0.4)']",1802.2,28.6,28.6,70
j.matdes.2012.09.013,0.1 wt.% MWNT,"['DGEBA', '(0.001)MWNT']",3650,179,91,71
j.matdes.2012.09.013,0.5 wt.% MWNT,"['DGEBA', '(0.005)MWNT']",4315,227,88,72
j.matdes.2012.09.013,0.5 wt.% MWNT-OH,"['DGEBA', '(0.005)MWNT','OH']",3859,352,92,73
j.matdes.2012.09.013,1 wt.% MWNT,"['DGEBA', '(0.01)MWNT']",3780,227,88,74
j.matdes.2012.09.013,1 wt.% MWNT-OH,"['DGEBA', '(0.01)MWNT', 'OH']",3455,325,93.5,75
j.matdes.2012.09.013,1.5 wt.% MWNT,"['DGEBA', '(0.015)MWNT']",3253,179,88.5,76
j.matdes.2012.09.013,2 wt.% MWNT-OH,"['DGEBA', '(0.02)MWNT', 'OH']",3624,322,95.5,77
j.matdes.2012.09.013,Epoxy,['DGEBA'],2945,206,89,78
j.polymdegradstab.2020.109292,10HS/10LHP,"['(10)HS', '(10)LHP']",2214,11,68.9,79
j.polymdegradstab.2020.109292,15HS/5LHP,"['(15)HS', '(5)LHP']",2474,15,69.3,80
j.polymdegradstab.2020.109292,20APP,['(20)APP'],2257,14,69.2,81
j.polymdegradstab.2020.109292,20HS,['(20)HS'],2298,19,69.3,82
j.polymdegradstab.2020.109292,20LHP,['(20)LHP'],2262,8,71.1,83
j.polymdegradstab.2020.109292,5HS/15LHP,"['(5)HS', '(15)LHP']",2120,10,68.4,84
j.polymdegradstab.2020.109292,EP,['EP'],1767,7,70.6,85
j.polymdegradstab.2021.109715,EP,['EP'],1896.2,15,151,86
j.polymdegradstab.2021.109715,EP/Tetra-DOPO-2.5,"['EP', 'Tetra-DOPO(2.5)']",1850.3,18,165,87
j.polymdegradstab.2021.109715,EP/Tetra-DOPO-5.0,"['EP', 'Tetra-DOPO(5.0)']",1962.1,16.7,161,88
j.polymer.2017.04.007,10H,"['(10)HBE', 'POSS(0)', 'DGEBA(64)', '33DDS(26)']",2540,19.7,163,89
j.polymer.2017.04.007,Neat,"['(0)HBE', 'POSS(0)', 'DGEBA(73)', '33DDS(27)']",2105,27.2,174,90
j.polymer.2017.04.007,P1-H10,"['(10)HBE', 'POSS(1)', 'DGEBA(64)', '33DDS(25)']",2675,24.2,167,91
j.polymer.2017.04.007,P5-H10,"['(10)HBE', 'POSS(5)', 'DGEBA(61)', '33DDS(24)']",3055,24.7,170,92
jnn.2010.1385,DGEBA-DDM,"['DGEBA', 'DDM']",1930,14,-16,93
jnn.2010.1381,,"['DGEBA', 'DDM', '(0.02)C30B']",1990,17,-15,94
jnn.2010.1382,,"['DGEBA', 'DDM', '(0.04)C30B']",2030,21,-15,95
jnn.2010.1383,,"['DGEBA', 'DDM', '(0.06)C30B']",2060,20,-13,96
jnn.2010.1385,,"['DGEBA', 'DDS']",2040,16,-16,97
jnn.2010.1385,,"['DGEBA', 'DDS', '(0.02)C30B']",2040,16,-7,98
jnn.2010.1385,,"['DGEBA', 'DDS', '(0.04)C30B']",2120,19,-7,99
jnn.2010.1385,,"['DGEBA', 'DDS', '(0.06)C30B']",2240,24,-5,100
jnn.2010.1385,,"['DGEBA', 'DDM', '(0.02)C15A']",1830,18,-15,101
jnn.2010.1385,,"['DGEBA', 'DDM', '(0.04)C15A']",1970,18,-15,102
jnn.2010.1385,,"['DGEBA', 'DDM', '(0.06)C15A']",1910,12,-16,103
jnn.2010.1385,,"['DGEBA', 'DDS', '(0.02)C15A']",1980,15,-7,104
jnn.2010.1385,,"['DGEBA', 'DDS', '(0.04)C15A']",1940,13,-6,105
jnn.2010.1385,,"['DGEBA', 'DDS', '(0.06)C15A']",2070,7,-7,106
mame.201400293,,"['DGEBA','Jeffamine']",1720,15,95,107
mame.201400294,,"['DGEBA','Jeffamine', '(0.025) Phos-DCA']",1870,15,87,108
mame.201400295,,"['DGEBA','Jeffamine', '(0.01) Phos-DCA']",1660,13,85,109
mame.201400296,,"['DGEBA','Jeffamine', '(0.02) Phos-DCA']",1340,7,76,110
mame.201400297,,"['DGEBA','Jeffamine', '(0.025) Phos-DBS']",1550,10,90,111
mame.201400298,,"['DGEBA','Jeffamine', '(0.01) Phos-DBS']",1700,9,85,112
mame.201400299,,"['DGEBA','Jeffamine', '(0.02) Phos-DBS']",1200,6,77,113
mame.201400300,,"['DGEBA','Jeffamine', '(0.025) Phos-TFSI']",1440,9,93,114
mame.201400301,,"['DGEBA','Jeffamine', '(0.01) Phos-TFSI']",1300,9,97,115
mame.201400302,,"['DGEBA','Jeffamine', '(0.02) Phos-TSFI']",1150,8,95,116
molecules24183285_11_0,BDA-DGEBA,"['BDA', 'DGEBA']",1290,4.84,77,117
molecules24183285_11_0,BDA-DGEVA,"['BDA', 'DGEVA']",2410,4.29,45,118
molecules24183285_11_0,FDA-DGEBA,"['FDA', 'DGEBA']",271,1.3,76,119
molecules24183285_11_0,FDA-DGEVA,"['FDA', 'DGEVA']",545,0.959,46,120
molecules24183285_11_0,IPTA1-DGEBA,"['IPTA1', 'DGEBA']",1600,13.8,99,121
molecules24183285_11_0,IPTA1-DGEVA,"['IPTA1', 'DGEVA']",2700,10.5,59,122
molecules24183285_11_0,IPTA2-DGEBA,"['IPTA2', 'DGEBA']",2140,13.8,89,123
molecules24183285_11_0,IPTA2-DGEVA,"['IPTA2', 'DGEVA']",1720,6.92,57,124
molecules24183285_11_0,MXDA-DGEBA,"['MXDA', 'DGEBA']",120,18,116,125
pen.10137,System-1,['System1'],1150,5.7,150,126
pen.10137,System-1N,['System-1N'],1240,13.2,150,127
pen.10137,System-1NR,['System-1NR'],1240,8.72,150,128
pen.20864,Epoxy n-MMT,"['EP', 'n-MMT']",2310,98.2,228,129
pen.20864,Epoxy/d-MMT,"['EP', 'd-MMT']",2060,62.5,225,130
pen.20864,Neat epoxy,['EP'],1800,63.5,228,131
pen.24355_7_0,0.25 wt% DA-G/epoxy,"['(0.0025)DA-G', 'EP']",13419.66,160.54,81,132
pen.24355_7_0,0.5 wt% DA-G/epoxy,"['(0.005)DA-G', 'EP']",20353.52,257.54,75,133
pen.24355_7_0,0.75 wt% DA-G/epoxy,"['(0.0075)DA-G', 'EP']",16244.38,209.04,90,134
pen.24355_7_0,Neat epoxy,['EP'],12392.44,124.17,96,135
polb.21903_7_0,GPE-TA1.0,['GPE-TA1.0'],2600,14,87.3,136
polb.21903_7_0,GPE-TA1.0/MFC5,"['GPE-TA1.0', 'MFC(5)']",2200,96,90.5,137
polb.21903_7_0,SPE-TA1.0,['SPE-TA1.0'],2700,33,106.6,138
polb.21903_7_0,SPE-TA1.0/MFC5,"['SPE-TA1.0', 'MFC(5)']",2600,113,116,139
polb.24004,30D400-70LP,"['D400(0.3)', 'LP(0.7)']",2858,52,117,140
polb.24004,60D400-40LP,"['D400(0.6)', 'LP(0.4)']",3149,29,87,141
polb.24004,90D400-10LP,"['D400(0.9)', 'LP(0.1)']",2878,16,60,142
s10118-020-2395-9,E-51,['E(51)'],7000,63,191,143
s10118-020-2395-9,E-PI-1.5W-0.5,"['E-PI(1.5)', 'W(0.5)']",7616,70,200,144
s10118-020-2395-9,E-PI-1.5W-1,"['E-PI(1.5)', 'W(1)']",7756,74,203,145
s10118-020-2395-9,E-PI-1.5W-2,"['E-PI(1.5)', 'W(2)']",8680,73,201,146
s10118-020-2395-9,E-PI-1W-0.5,"['E-PI(1)', 'W(0.5)']",7644,70,208,147
s10118-020-2395-9,E-PI-1W-1,"['E-PI(1)', 'W(1)']",7812,73,203,148
s10118-020-2395-9,E-PI-1W-2,"['E-PI(1)', 'W(2)']",7896,70,203,149
s10118-020-2395-9,M-PI-1.5W-0.5,"['M-PI(1.5)', 'W(0.5)']",10416,56,277,150
s10118-020-2395-9,M-PI-1.5W-1,"['M-PI(1.5)', 'W(1)']",10584,59,278,151
s10118-020-2395-9,M-PI-1.5W-2,"['M-PI(1.5)', 'W(2)']",10416,61,279,152
s10118-020-2395-9,M-PI-1W-0.5,"['M-PI(1.5)', 'W(0.5)']",9660,42,277,153
s10118-020-2395-9,M-PI-1W-1,"['M-PI(1.5)', 'W(1)']",10136,45,277,154
s10118-020-2395-9,M-PI-1W-2,"['M-PI(1.5)', 'W(2)']",10360,47,276,155
s10118-020-2395-9,MY,['MY'],10444,39,275,156
s10965-005-1766-9_6_0,III/I = 1/0.8,['III/I=1/0.8'],1122.02,6.6,171.1,157
s10965-005-1766-9_6_0,III/I = 1/0.8,['III/I=1/0.8'],1436.93,95.9,201.9,158
s10965-005-1766-9_6_0,III/I = 1/0.8,['III/I=1/0.8'],2012.5,92.1,204.1,159
s10965-005-1766-9_6_0,III/I = 1/1,['III/I=1/1'],1903.71,6.604,173.2,160
j.compositesb.2019.107261,EP,['EP'],1950,21.1,158,161
j.compositesb.2019.107261,EP/UiO-66-NH2,"['EP', 'UiO(66)-NH2']",1850,22.1,160,162
j.compositesb.2019.107261,EP/SiO2@UiO-66-1,"['EP', 'SiO2@UiO-66-1']",2000,22.7,160,163
j.compositesb.2019.107261,EP/SiO2@UiO-66-2,"['EP', 'SiO2@UiO-66-2']",2030,22.4,162,164
j.compositesb.2019.107261,EP/SiO2@UiO-66-3,"['EP', 'SiO2@UiO-66-3']",2040,22.3,161,165
j.compositesb.2019.107261,EP/E-SiO 2,"['EP', 'SiO2']",2010,23.1,163,166
s00289-017-1928-z,Neat EP,['EP'],1570,180,131.7,167
s00289-017-1928-z,EP/S-2.5,"['EP', 'S-2.5']",1130,760,144.4,168
s00289-017-1928-z,EP/AS-2.5,"['EP', 'AS-2.5']",1200,770,144.6,169
s00289-017-1928-z,EP/AS-5.0,"['EP', 'AS-5.0']",1330,940,147.5,170
10.1088/0954-0083/13/2/328,Ba,['Ba'],3300,51,152,171
10.1088/0954-0083/13/2/328,Ba/ATBN-10,"['Ba', 'ATBN(10)']",2700,53,185,172
10.1088/0954-0083/13/2/328,Ba/ATBN-30,"['Ba', 'ATBN(30)']",1800,41,255,173
10.1088/0954-0083/13/2/328,Ba/HPMI-10,"['Ba', 'HPMI(10)']",3900,31,183,174
10.1088/0954-0083/13/2/328,Ba/HPMI-5/ATBN-10,"['Ba', 'HPMI(5)', 'ATBN(10)']",3000,58,188,175
10.1088/0954-0083/13/2/328,Ba/HPMI-10/ATBN-10,"['Ba', 'HPMI(10)', 'ATBN(10)']",3200,62,185,176
10.1088/0954-0083/13/2/328,Ba/HPMI-5/ATBN-30,"['Ba', 'HPMI(5)', 'ATBN(30)']",2000,53,230,177
polym13050750,DMAP-lignin epoxide resin,"['DMAP', 'ligninepoxideresin']",1200,28,46,178
polym13050750,BTEAC-lignin epoxide resin,"['BTEAC', 'ligninepoxideresin']",4286,43,90,179
polym13050750,BADGE resin,['BADGE'],8190,146,75,180
j.eurpolymj.2014.03.034_10_0,GETT-IPD,"['GETT', 'IPD']",5280,116,129,181
j.eurpolymj.2014.03.034_10_0,DGEBA-IPD,"['DGEBA', 'IPD']",1290,13.8,149,182
j.cej.2019.123662_11_0,EP/AP1,"['EP', 'AP(1)']",2003,20,114,183
j.cej.2019.123662_11_0,EP/AP1.3,"['EP', 'AP(1.3)']",2142,23.16,127,184
j.cej.2019.123662_11_0,EP/AP1.6,"['EP', 'AP(1.6)']",2214,26.8,150,185
j.cej.2019.123662_11_0,EP/AP2,"['EP', 'AP(2)']",2404,29.3,159,186
j.compositesb.2015.11.035_7_1,Epoxy,['EP'],2367,17,171,187
j.compositesb.2015.11.035_7_1,1%-Graphenit-ox-Epoxy,"['(0.01)Graphenit-ox', 'EP']",2148,24,170,188
j.compositesb.2015.11.035_7_1,3%-Graphenit-ox-Epoxy,"['(0.03)Graphenit-ox', 'EP']",2254,27,168,189
j.compositesb.2015.11.035_7_1,1%-Graphenit-Cu-Epoxy,"['(0.01)Graphenit-Cu', 'EP']",2280,25,176,190
j.compositesb.2015.11.035_7_1,3%-Graphenit-Cu-Epoxy,"['(0.03)Graphenit-Cu', 'EP']",2223,28,176,191
j.cej.2019.123124,DGEBA/MeHHPA,"['DGEBA', 'MeHHPA']",2417,21.8,146,192
j.cej.2019.123124,REEP/MeHHPA,"['REEP', 'MeHHPA']",2530,83.3,210,193
j.polymdegradstab.2021.109548,EP,['EP'],2273,49.5,164,194
j.polymdegradstab.2021.109548,EP/VFD-5,"['EP', 'VFD(5)']",2486,45.4,155,195
j.polymdegradstab.2021.109548,EP/VFD-7.5,"['EP', 'VFD(7.5)']",2668,36.8,150,196
j.polymdegradstab.2021.109548,EP/VFD-10,"['EP', 'VFD(10)']",2510,36.9,149,197
j.polymdegradstab.2021.109548,EP/VFD-12.5,"['EP', 'VFD(12.5)']",2407,31.2,146,198
